top_k_titles	top_k_title_percent	cumulative_exact_hits	total_exact_hits	exact_coverage_percent
0	0.0	0	25360	0.0
1	0.396825	2434	25360	9.597792
2	0.793651	4751	25360	18.734227
3	1.190476	6898	25360	27.200315
4	1.587302	8396	25360	33.107256
5	1.984127	9661	25360	38.095426
6	2.380952	10742	25360	42.358044
7	2.777778	11613	25360	45.792587
8	3.174603	12391	25360	48.86041
9	3.571429	13142	25360	51.821767
10	3.968254	13859	25360	54.649054
11	4.365079	14538	25360	57.326498
12	4.761905	15198	25360	59.929022
13	5.15873	15736	25360	62.050473
14	5.555556	16258	25360	64.108833
15	5.952381	16758	25360	66.080442
16	6.349206	17200	25360	67.823344
17	6.746032	17634	25360	69.5347
18	7.142857	18011	25360	71.021293
19	7.539683	18383	25360	72.48817
20	7.936508	18740	25360	73.895899
21	8.333333	19055	25360	75.138013
22	8.730159	19357	25360	76.328864
23	9.126984	19651	25360	77.48817
24	9.52381	19922	25360	78.556782
25	9.920635	20145	25360	79.43612
26	10.31746	20362	25360	80.291798
27	10.714286	20577	25360	81.13959
28	11.111111	20771	25360	81.904574
29	11.507937	20963	25360	82.661672
30	11.904762	21154	25360	83.414826
31	12.301587	21340	25360	84.148265
32	12.698413	21511	25360	84.822555
33	13.095238	21670	25360	85.449527
34	13.492063	21823	25360	86.052839
35	13.888889	21970	25360	86.632492
36	14.285714	22110	25360	87.184543
37	14.68254	22240	25360	87.697161
38	15.079365	22369	25360	88.205836
39	15.47619	22487	25360	88.671136
40	15.873016	22601	25360	89.120662
41	16.269841	22707	25360	89.538644
42	16.666667	22808	25360	89.936909
43	17.063492	22890	25360	90.260252
44	17.460317	22971	25360	90.579653
45	17.857143	23050	25360	90.891167
46	18.253968	23127	25360	91.194795
47	18.650794	23197	25360	91.47082
48	19.047619	23265	25360	91.738959
49	19.444444	23332	25360	92.003155
50	19.84127	23398	25360	92.263407
51	20.238095	23463	25360	92.519716
52	20.634921	23527	25360	92.772082
